"","country","country_name","iso2c","year","b","se","pop.dens","gov.exp","trade","gdp.growth","gdppc","fem.lab","pop","non.agri","net100hab","bb100hab","mobile100hab","fixed100hab"
"71","AUS","Australia","AU",2013,-0.811823850739674,0.105632257984941,3.01057352615753,17.8403795595542,41.2084303462784,2.58487511083116,47192.0573890772,45.5631115945243,23128129,97.7210935053996,83.453497167,25.7192963912615,107.246154823284,44.5067242350036
"72","AUS","Australia","AU",2014,-0.809843813076913,0.105404623746295,3.05581479504836,17.6973844719836,42.506490337998,2.5331154467595,47671.1110390381,45.7393170586989,23475686,97.7837763445165,84,27.6991123739767,106.202533061789,38.9465793630425
"73","AUS","Australia","AU",2015,-0.807827765565637,0.105194395028411,3.10011259648803,18.0607422991861,41.4943730799132,2.1926400283338,48020.2541377547,45.9052011995672,23815995,97.627355886153,84.560519347399,28.530238919441,107.677834937609,35.5165540151214
"74","AUS","Australia","AU",2016,-0.805774048053279,0.10500093504107,3.14493553058884,18.6568548226847,40.7776414241104,2.77065669252896,48585.890201519,46.1628392543325,24190907,97.5968770059143,86.54,30.3923155828582,109.431295231959,34.9507507652071
"75","AUS","Australia","AU",2017,-0.803712205880988,0.10480221705504,3.19836141871706,18.6005884464232,41.7700001190728,2.36761725296472,48905.4171954152,46.3362550968803,24601860,97.2998258702095,86.54504885,32.2233982058702,111.708051619264,34.4117582456023
"76","AUS","Australia","AU",2018,-0.801687095892099,0.104559936621704,3.24787091037205,18.6784548186909,43.1922611196402,2.94033358170461,49575.981131221,46.5006466123901,24982688,97.5448137176465,NA,30.6850082688868,113.578710580609,32.4923713213736
"77","BGD","Bangladesh","BD",2000,-0.650133970512851,0.0458895582106293,980.701037105324,4.97312138319291,29.3217143619038,5.2932947184604,1937.72889642028,22.5946263218746,127657854,77.2818519244077,0.0710394230507683,NA,0.218552945438046,0.384859203414151
"78","BGD","Bangladesh","BD",2001,-0.650717095693549,0.045542492949718,999.375447491742,4.84565983723317,32.0980170730117,5.07728777597312,1998.06599730559,22.7874306439085,130088702,78.1516594184741,0.129807973947512,NA,0.399727256868164,0.434226793960939
"79","BGD","Bangladesh","BD",2002,-0.65812196095642,0.0449289598301655,1017.73132058078,5.02264856478482,28.9673807211649,3.83312394005608,2037.23573293324,22.9808798293319,132478086,79.4158655773634,0.13992028850905,NA,0.811454960181112,0.457382060909304
"80","BGD","Bangladesh","BD",2003,-0.665593574757538,0.0440135225841289,1035.50436352462,5.12829861719188,27.657884900158,4.73956739916446,2097.1682188778,23.1735922907396,134791603,80.1872817022958,0.163877665498048,NA,1.01267435776396,0.550515005003687
"81","BGD","Bangladesh","BD",2004,-0.67275896714919,0.0433989687286743,1052.36561419682,5.17438311061483,26.8582341492431,5.2395329104527,2171.68816039292,23.3695662234233,136986432,80.7330404337141,0.199036333744363,NA,2.03053686368005,0.60659292155299
"82","BGD","Bangladesh","BD",2005,-0.679683415012979,0.0429134576870189,1068.10712913882,5.18022516467283,34.396934864465,6.53594494052352,2279.53078299687,23.5752284378512,139035505,81.4289604544036,0.24163732563671,NA,6.47316669220571,0.769587595628901
"83","BGD","Bangladesh","BD",2006,-0.686350760850108,0.0426101103153204,1082.59327802105,5.44007855680545,38.1119244325921,6.67190498148148,2399.08148957675,23.7416243199768,140921167,81.9659834891458,1,NA,13.5756631933086,0.804705229271909
"84","BGD","Bangladesh","BD",2007,-0.692824529614796,0.0423317209507047,1095.95433663671,5.35945621469055,39.9423826531735,7.0585993565727,2537.11074033306,24.2561091761653,142660376,82.1934632176045,1.8,0.0306392014556305,24.0921838030204,0.8319892553767
"85","BGD","Bangladesh","BD",2008,-0.698833286653872,0.0425549028896192,1108.5823692095,5.17827687820651,42.6209140325589,6.01378975923306,2659.04860437969,24.7827836764705,144304167,82.4043044578008,2.5,0.0346490340781358,30.9346576249596,0.931682035211083
"86","BGD","Bangladesh","BD",2009,-0.704420884078889,0.0431230162701543,1121.03247292003,5.09374516609514,40.092796223023,5.04512479417738,2762.1798419779,25.311013554356,145924797,82.8953709480368,3.1,0.217028912502102,35.1957419546727,0.846254389512702
"87","BGD","Bangladesh","BD",2010,-0.709859389433183,0.0435462764572304,1133.71306752708,5.07532583559895,37.8028426708321,5.57180227396866,2883.46661653503,25.8342480350324,147575430,82.9988187407081,3.7,0.280920069147012,46.0265553690069,0.867882953144707
"88","BGD","Bangladesh","BD",2011,-0.715188055364207,0.0437011329331521,1146.76022124914,5.0974466876342,47.4208498356898,6.46438388047517,3034.93787535317,26.3251379594884,149273778,83.1900132426497,4.5,0.313854189131777,56.5196796725766,0.654973832901042
"89","BGD","Bangladesh","BD",2012,-0.719996368973733,0.0442932701464201,1160.0814857494,5.03934251843094,48.1109227476789,6.52143507837333,3195.7363183274,26.8085644153576,151007807,83.8224368271846,5,0.397641178392564,64.3551699713877,0.636789705058826
"90","BGD","Bangladesh","BD",2013,-0.724150402622472,0.0455136320201358,1173.57821310594,5.11613164205746,46.2964027239758,6.01361036536019,3348.95275284132,27.2892738200418,152764676,84.5067220020216,6.63,0.998501467170199,76.2974562071688,0.708521833700182
